step,loss_to
1303,0.057503
1304,0.057479
1305,0.057455
1306,0.057432
1307,0.057408
1308,0.057385
1309,0.057361
1310,0.057338
1311,0.057314
1312,0.057290
1313,0.057267
1314,0.057243
1315,0.057220
1316,0.057196
1317,0.057173
1318,0.057149
1319,0.057126
1320,0.057103
1321,0.057079
1322,0.057056
1323,0.057032
1324,0.057009
1325,0.056985
1326,0.056962
1327,0.056939
1328,0.056915
1329,0.056892
1330,0.056868
1331,0.056845
1332,0.056822
1333,0.056798
1334,0.056775
1335,0.056752
1336,0.056728
1337,0.056705
1338,0.056682
1339,0.056658
1340,0.056635
1341,0.056612
1342,0.056588
1343,0.056565
1344,0.056542
1345,0.056519
1346,0.056495
1347,0.056472
1348,0.056449
1349,0.056426
1350,0.056402
1351,0.056379
1352,0.056356
1353,0.056333
1354,0.056310
1355,0.056286
1356,0.056263
1357,0.056240
1358,0.056217
1359,0.056194
1360,0.056171
1361,0.056148
1362,0.056124
1363,0.056101
1364,0.056078
1365,0.056055
1366,0.056032
1367,0.056009
1368,0.055986
1369,0.055963
1370,0.055940
1371,0.055917
1372,0.055894
1373,0.055871
1374,0.055848
1375,0.055825
1376,0.055802
1377,0.055779
1378,0.055756
1379,0.055733
1380,0.055710
1381,0.055687
1382,0.055664
1383,0.055641
1384,0.055618
1385,0.055595
1386,0.055572
1387,0.055549
1388,0.055526
1389,0.055503
1390,0.055480
1391,0.055457
1392,0.055434
1393,0.055412
1394,0.055389
1395,0.055366
1396,0.055343
1397,0.055320
1398,0.055297
1399,0.055274
1400,0.055252
1401,0.055229
1402,0.055206
1403,0.055183
1404,0.055160
1405,0.055138
1406,0.055115
1407,0.055092
1408,0.055069
1409,0.055047
1410,0.055024
1411,0.055001
1412,0.054978
1413,0.054956
1414,0.054933
1415,0.054910
1416,0.054887
1417,0.054865
1418,0.054842
1419,0.054819
1420,0.054797
1421,0.054774
1422,0.054751
1423,0.054729
1424,0.054706
1425,0.054683
1426,0.054661
1427,0.054638
1428,0.054616
1429,0.054593
1430,0.054570
1431,0.054548
1432,0.054525
1433,0.054503
1434,0.054480
1435,0.054458
1436,0.054435
1437,0.054412
1438,0.054390
1439,0.054367
1440,0.054345
1441,0.054322
1442,0.054300
1443,0.054277
1444,0.054255
1445,0.054232
1446,0.054210
1447,0.054187
1448,0.054165
1449,0.054142
1450,0.054120
1451,0.054097
1452,0.054075
1453,0.054053
1454,0.054030
1455,0.054008
1456,0.053985
1457,0.053963
1458,0.053941
1459,0.053918
1460,0.053896
1461,0.053873
1462,0.053851
1463,0.053829
1464,0.053806
1465,0.053784
1466,0.053762
1467,0.053739
1468,0.053717
1469,0.053695
1470,0.053672
1471,0.053650
1472,0.053628
1473,0.053606
1474,0.053583
1475,0.053561
1476,0.053539
1477,0.053516
1478,0.053494
1479,0.053472
1480,0.053450
1481,0.053428
1482,0.053405
1483,0.053383
1484,0.053361
1485,0.053339
1486,0.053316
1487,0.053294
1488,0.053272
1489,0.053250
1490,0.053228
1491,0.053206
1492,0.053183
1493,0.053161
1494,0.053139
1495,0.053117
1496,0.053095
1497,0.053073
1498,0.053051
1499,0.053029
1500,0.053007
1501,0.052984
1502,0.052962
1503,0.052940
1504,0.052918
1505,0.052896
1506,0.052874
1507,0.052852
1508,0.052830
1509,0.052808
1510,0.052786
1511,0.052764
1512,0.052742
1513,0.052720
1514,0.052698
1515,0.052676
1516,0.052654
1517,0.052632
1518,0.052610
1519,0.052588
1520,0.052566
1521,0.052544
1522,0.052522
1523,0.052500
1524,0.052478
1525,0.052456
1526,0.052434
1527,0.052413
1528,0.052391
1529,0.052369
1530,0.052347
1531,0.052325
1532,0.052303
1533,0.052281
1534,0.052259
1535,0.052238
1536,0.052216
1537,0.052194
1538,0.052172
1539,0.052150
1540,0.052128
1541,0.052107
1542,0.052085
1543,0.052063
1544,0.052041
1545,0.052019
1546,0.051998
1547,0.051976
1548,0.051954
1549,0.051932
1550,0.051911
1551,0.051889
1552,0.051867
1553,0.051845
1554,0.051824
1555,0.051802
1556,0.051780
1557,0.051758
1558,0.051737
1559,0.051715
1560,0.051693
1561,0.051672
1562,0.051650
1563,0.051628
1564,0.051607
1565,0.051585
1566,0.051563
1567,0.051542
1568,0.051520
1569,0.051499
1570,0.051477
1571,0.051455
1572,0.051434
1573,0.051412
1574,0.051390
1575,0.051369
1576,0.051347
1577,0.051326
1578,0.051304
1579,0.051283
1580,0.051261
1581,0.051240
1582,0.051218
1583,0.051196
1584,0.051175
1585,0.051153
1586,0.051132
1587,0.051110
1588,0.051089
1589,0.051067
1590,0.051046
1591,0.051024
1592,0.051003
1593,0.050981
1594,0.050960
1595,0.050939
1596,0.050917
1597,0.050896
1598,0.050874
1599,0.050853
1600,0.050831
1601,0.050810
1602,0.050789
1603,0.050767
1604,0.050746
1605,0.050724
1606,0.050703
1607,0.050682
1608,0.050660
1609,0.050639
1610,0.050617
1611,0.050596
1612,0.050575
1613,0.050553
1614,0.050532
1615,0.050511
1616,0.050489
1617,0.050468
1618,0.050447
1619,0.050426
1620,0.050404
1621,0.050383
1622,0.050362
1623,0.050340
1624,0.050319
1625,0.050298
1626,0.050277
1627,0.050255
1628,0.050234
1629,0.050213
1630,0.050192
1631,0.050170
1632,0.050149
1633,0.050128
1634,0.050107
1635,0.050086
1636,0.050064
1637,0.050043
1638,0.050022
1639,0.050001
1640,0.049980
1641,0.049959
1642,0.049937
1643,0.049916
1644,0.049895
1645,0.049874
1646,0.049853
1647,0.049832
1648,0.049811
1649,0.049789
1650,0.049768
1651,0.049747
1652,0.049726
1653,0.049705
1654,0.049684
1655,0.049663
1656,0.049642
1657,0.049621
1658,0.049600
1659,0.049579
1660,0.049558
1661,0.049537
1662,0.049516
1663,0.049495
1664,0.049474
1665,0.049453
1666,0.049432
1667,0.049411
1668,0.049390
1669,0.049369
1670,0.049348
1671,0.049327
1672,0.049306
1673,0.049285
1674,0.049264
1675,0.049243
1676,0.049222
1677,0.049201
1678,0.049180
1679,0.049159
1680,0.049138
1681,0.049117
1682,0.049096
1683,0.049075
1684,0.049054
1685,0.049034
1686,0.049013
1687,0.048992
1688,0.048971
1689,0.048950
1690,0.048929
1691,0.048908
1692,0.048887
1693,0.048867
1694,0.048846
1695,0.048825
1696,0.048804
1697,0.048783
1698,0.048763
1699,0.048742
1700,0.048721
1701,0.048700
1702,0.048679
1703,0.048659
1704,0.048638
1705,0.048617
1706,0.048596
1707,0.048575
1708,0.048555
1709,0.048534
1710,0.048513
1711,0.048493
1712,0.048472
1713,0.048451
1714,0.048430
1715,0.048410
1716,0.048389
1717,0.048368
1718,0.048348
1719,0.048327
1720,0.048306
1721,0.048286
1722,0.048265
1723,0.048244
1724,0.048224
1725,0.048203
1726,0.048182
1727,0.048162
1728,0.048141
1729,0.048120
1730,0.048100
1731,0.048079
1732,0.048058
1733,0.048038
1734,0.048017
1735,0.047997
1736,0.047976
1737,0.047956
1738,0.047935
1739,0.047914
1740,0.047894
1741,0.047873
1742,0.047853
1743,0.047832
1744,0.047812
1745,0.047791
1746,0.047771
1747,0.047750
1748,0.047730
1749,0.047709
1750,0.047689
1751,0.047668
1752,0.047648
1753,0.047627
1754,0.047607
1755,0.047586
1756,0.047566
1757,0.047545
1758,0.047525
1759,0.047504
1760,0.047484
1761,0.047463
1762,0.047443
1763,0.047423
1764,0.047402
1765,0.047382
1766,0.047361
1767,0.047341
1768,0.047320
1769,0.047300
1770,0.047280
1771,0.047259
1772,0.047239
1773,0.047219
1774,0.047198
1775,0.047178
1776,0.047157
1777,0.047137
1778,0.047117
1779,0.047096
1780,0.047076
1781,0.047056
1782,0.047035
1783,0.047015
1784,0.046995
1785,0.046975
1786,0.046954
1787,0.046934
1788,0.046914
1789,0.046893
1790,0.046873
1791,0.046853
1792,0.046833
1793,0.046812
1794,0.046792
1795,0.046772
1796,0.046752
1797,0.046731
1798,0.046711
1799,0.046691
1800,0.046671
1801,0.046650
1802,0.046630
